"","participant","time","sentence","token","duration","occlusions_cat","is_trill","no_occlusions","level"
"244","sp1_P3E","POST","Imagen A","Correr","16","1 True","tap","1","sp1"
"245","sp1_P3E","POST","Imagen A","Perros","94","2","trill","2","sp1"
"246","sp1_P3E","POST","Imagen B","Arroz","155","4","trill","4","sp1"
"247","sp1_P3E","POST","Imagen C","Lavar","32","approximant","tap","a","sp1"
"248","sp1_P3E","POST","Imagen C","Mujer","39","1 True","tap","1","sp1"
"249","sp1_P3E","POST","Imagen C","Ropa","116","3","trill","3","sp1"
"250","sp1_P3E","POST","Imagen D","Correr","136","4","trill","4","sp1"
"251","sp1_P3E","POST","Imagen D","Correr","28","approximant","tap","a","sp1"
"252","sp1_P3E","POST","Imagen D","Toro","15","approximant","tap","a","sp1"
"253","sp1_P3E","POST","Imagen D","Atacar","19","approximant","tap","a","sp1"
"254","sp1_P3E","POST","Imagen E","Mujer","27","approximant","tap","a","sp1"
"255","sp1_P3E","POST","Imagen E","Cara","25","1 True","tap","1","sp1"
"256","sp1_P3E","POST","Imagen F","Mujer","25","approximant","tap","a","sp1"
"257","sp1_P3E","POST","Imagen F","Guitarra","147","3","trill","3","sp1"
"258","sp1_P3E","POST","Imagen G","Rojo","97","2","trill","2","sp1"
"259","sp1_P3E","POST","Imagen G","Zorro","178","4","trill","4","sp1"
"260","sp1_P3E","POST","Imagen H","Rojo","105","4","trill","4","sp1"
"261","sp1_P3E","POST","Imagen H","Carro","132","4","trill","4","sp1"
"262","sp1_P3E","PRE","Imagen A","Correr","32","1","trill","1","sp1"
"263","sp1_P3E","PRE","Imagen A","Correr","72","approximant","tap","a","sp1"
"264","sp1_P3E","PRE","Imagen A","Perros","35","1","trill","1","sp1"
"265","sp1_P3E","PRE","Imagen B","Caminar","139","approximant","tap","a","sp1"
"266","sp1_P3E","PRE","Imagen B","Arroz","33","1","trill","1","sp1"
"267","sp1_P3E","PRE","Imagen C","Caminar","75","approximant","tap","a","sp1"
"268","sp1_P3E","PRE","Imagen C","Lavar","64","approximant","tap","a","sp1"
"269","sp1_P3E","PRE","Imagen C","Mujer","33","approximant","tap","a","sp1"
"270","sp1_P3E","PRE","Imagen C","Ropa","38","0","trill","0","sp1"
"271","sp1_P3E","PRE","Imagen D","Correr","30","1","trill","1","sp1"
"272","sp1_P3E","PRE","Imagen D","Correr","95","approximant","tap","a","sp1"
"273","sp1_P3E","PRE","Imagen D","Toro","27","approximant","tap","a","sp1"
"274","sp1_P3E","PRE","Imagen D","Atacar","85","approximant","tap","a","sp1"
"275","sp1_P3E","PRE","Imagen E","Mujer","88","approximant","tap","a","sp1"
"276","sp1_P3E","PRE","Imagen F","Tocar","90","approximant","tap","a","sp1"
"277","sp1_P3E","PRE","Imagen F","Mujer","55","approximant","tap","a","sp1"
"278","sp1_P3E","PRE","Imagen F","Guitarra","25","1","trill","1","sp1"
"279","sp1_P3E","PRE","Imagen G","Rojo","67","0","trill","0","sp1"
"280","sp1_P3E","PRE","Imagen G","Zorro","59","0","trill","0","sp1"
"281","sp1_P3E","PRE","Imagen H","Rojo","51","0","trill","0","sp1"
"282","sp1_P3E","PRE","Imagen H","Carro","39","0","trill","0","sp1"
"283","sp1_P3E","PRE","Imagen H","Rápido","22","0","trill","0","sp1"
"284","sp203_P3E","POST","Imagen A","Corriendo","145","3","trill","3","sp203/204"
"285","sp203_P3E","POST","Imagen A","Perros","156","5","trill","5","sp203/204"
"286","sp203_P3E","POST","Imagen B","Arroz","153","3","trill","3","sp203/204"
"287","sp203_P3E","POST","Imagen C","Mujer","31","1 True","tap","1","sp203/204"
"288","sp203_P3E","POST","Imagen C","Mujer 2","45","approximant","tap","a","sp203/204"
"289","sp203_P3E","POST","Imagen C","Ropa","95","0","trill","0","sp203/204"
"290","sp203_P3E","POST","Imagen D","Corre","96","2","trill","2","sp203/204"
"291","sp203_P3E","POST","Imagen D","Corre 2","159","4","trill","4","sp203/204"
"292","sp203_P3E","POST","Imagen D","Toro","34","1 True","tap","1","sp203/204"
"293","sp203_P3E","POST","Imagen E","Mujer","22","1 True","tap","1","sp203/204"
"294","sp203_P3E","POST","Imagen E","Cara","25","1 True","tap","1","sp203/204"
"295","sp203_P3E","POST","Imagen F","Mujer","44","approximant","tap","a","sp203/204"
"296","sp203_P3E","POST","Imagen F","Guitarra","138","4","trill","4","sp203/204"
"297","sp203_P3E","POST","Imagen F","Reirse","79","0","trill","0","sp203/204"
"298","sp203_P3E","POST","Imagen F","Reirse","23","1 True","tap","1","sp203/204"
"299","sp203_P3E","POST","Imagen G","Rojo","152","4","trill","4","sp203/204"
"300","sp203_P3E","POST","Imagen G","Zorro","154","4","trill","4","sp203/204"
"301","sp203_P3E","POST","Imagen H","Rojo","185","4","trill","4","sp203/204"
"302","sp203_P3E","POST","Imagen H","Carro","215","5","trill","5","sp203/204"
"303","sp203_P3E","POST","Imagen H","Rápido","154","3","trill","3","sp203/204"
"304","sp203_P3E","PRE","Imagen A","Corriendo","46","0","trill","0","sp203/204"
"305","sp203_P3E","PRE","Imagen A","Perros","62","0","trill","0","sp203/204"
"306","sp203_P3E","PRE","Imagen B","Arroz","47","0","trill","0","sp203/204"
"307","sp203_P3E","PRE","Imagen C","Caminar","78","approximant","tap","a","sp203/204"
"308","sp203_P3E","PRE","Imagen C","Lavar","92","approximant","tap","a","sp203/204"
"309","sp203_P3E","PRE","Imagen C","Mujer","102","approximant","tap","a","sp203/204"
"310","sp203_P3E","PRE","Imagen C","Ropa","33","0","trill","0","sp203/204"
"311","sp203_P3E","PRE","Imagen D","Corriendo","43","0","trill","0","sp203/204"
"312","sp203_P3E","PRE","Imagen D","Toro","107","approximant","tap","a","sp203/204"
"313","sp203_P3E","PRE","Imagen D","Atacar","103","approximant","tap","a","sp203/204"
"314","sp203_P3E","PRE","Imagen E","Mujer","116","approximant","tap","a","sp203/204"
"315","sp203_P3E","PRE","Imagen E","Cara","63","approximant","tap","a","sp203/204"
"316","sp203_P3E","PRE","Imagen F","Mujer","117","approximant","tap","a","sp203/204"
"317","sp203_P3E","PRE","Imagen F","Guitarra","88","0","trill","0","sp203/204"
"318","sp203_P3E","PRE","Imagen F","Reir","63","0","trill","0","sp203/204"
"319","sp203_P3E","PRE","Imagen G","Dar","63","approximant","tap","a","sp203/204"
"320","sp203_P3E","PRE","Imagen G","Rojo","51","0","trill","0","sp203/204"
"321","sp203_P3E","PRE","Imagen G","Zorro","31","1","trill","1","sp203/204"
"322","sp203_P3E","PRE","Imagen G","Flor","61","approximant","tap","a","sp203/204"
"323","sp203_P3E","PRE","Imagen H","Rojo","41","0","trill","0","sp203/204"
"324","sp203_P3E","PRE","Imagen H","Girar","38","1 True","tap","1","sp203/204"
"325","sp203_P3E","PRE","Imagen H","Carro","51","0","trill","0","sp203/204"
"326","sp203_P3E","PRE","Imagen H","Rápido","51","0","trill","0","sp203/204"
"327","sp1_P5E","POST","Imagen A","Perros","27","2","trill","2","sp1"
"328","sp1_P5E","POST","Imagen B","Arroz","26","1","trill","1","sp1"
"329","sp1_P5E","POST","Imagen C","Mujer","23","1 True","tap","1","sp1"
"330","sp1_P5E","POST","Imagen C","Ropa","29","1","trill","1","sp1"
"331","sp1_P5E","POST","Imagen D","Toro","10","1 True","tap","1","sp1"
"332","sp1_P5E","POST","Imagen E","Mujer","18","1 True","tap","1","sp1"
"333","sp1_P5E","POST","Imagen E","Cara","35","1 + fric","tap","1","sp1"
"334","sp1_P5E","POST","Imagen F","Mujer","24","1 True","tap","1","sp1"
"335","sp1_P5E","POST","Imagen F","Guitarra","40","2","trill","2","sp1"
"336","sp1_P5E","POST","Imagen G","Rojo","36","2","trill","2","sp1"
"337","sp1_P5E","POST","Imagen G","Zorro","16","1","trill","1","sp1"
"338","sp1_P5E","POST","Imagen G","Rojo b","23","1","trill","1","sp1"
"339","sp1_P5E","POST","Imagen G","Rojo c","20","1","trill","1","sp1"
"340","sp1_P5E","POST","Imagen G","Zorro b","19","1","trill","1","sp1"
"341","sp1_P5E","POST","Imagen H","Rojo","49","1","trill","1","sp1"
"342","sp1_P5E","POST","Imagen H","Girar","30","1 True","tap","1","sp1"
"343","sp1_P5E","POST","Imagen H","Carro","28","1","trill","1","sp1"
"344","sp1_P5E","POST","Imagen H","Rápido","30","1","trill","1","sp1"
"345","sp1_P5E","PRE","Imagen A","Pictura (new)","13","approximant","tap","a","sp1"
"346","sp1_P5E","PRE","Imagen A","Perros","15","1","trill","1","sp1"
"347","sp1_P5E","PRE","Imagen B","Caminar","23","approximant","tap","a","sp1"
"348","sp1_P5E","PRE","Imagen C","Mujer","18","1 True","tap","1","sp1"
"349","sp1_P5E","PRE","Imagen C","Lavar","17","approximant","tap","a","sp1"
"350","sp1_P5E","PRE","Imagen C","Mujer b","43","approximant","tap","a","sp1"
"351","sp1_P5E","PRE","Imagen D","Toro","14","approximant","tap","a","sp1"
"352","sp1_P5E","PRE","Imagen E","Mujer","23","approximant","tap","a","sp1"
"353","sp1_P5E","PRE","Imagen E","Cara","30","1 True","tap","1","sp1"
"354","sp1_P5E","PRE","Imagen F","Mujer","36","approximant","tap","a","sp1"
"355","sp1_P5E","PRE","Imagen F","Guitarra","19","1","trill","1","sp1"
"356","sp1_P5E","PRE","Imagen G","Rojo","28","0","trill","0","sp1"
"357","sp1_P5E","PRE","Imagen G","Zorro","12","1","trill","1","sp1"
"358","sp1_P5E","PRE","Imagen G","Flor","23","approximant","tap","a","sp1"
"359","sp1_P5E","PRE","Imagen H","Rojo","28","0","trill","0","sp1"
"360","sp1_P5E","PRE","Imagen H","Girar","15","1 True","tap","1","sp1"
"361","sp1_P5E","PRE","Imagen H","Carro","26","2","trill","2","sp1"
"362","sp1_P5E","PRE","Imagen H","Rápido","28","0","trill","0","sp1"
"363","sp1_P6E","POST","Imagen A","Correr","19","approximant","tap","a","sp1"
"364","sp1_P6E","POST","Imagen A","Correr","80","2","trill","2","sp1"
"365","sp1_P6E","POST","Imagen A","Perros","118","3","trill","3","sp1"
"366","sp1_P6E","POST","Imagen B","Arroz","103","3","trill","3","sp1"
"367","sp1_P6E","POST","Imagen C","Mujer","21","1 True","tap","1","sp1"
"368","sp1_P6E","POST","Imagen C","Ropa","107","3","trill","3","sp1"
"369","sp1_P6E","POST","Imagen D","Correr","124","3","trill","3","sp1"
"370","sp1_P6E","POST","Imagen D","Toro","16","1 True","tap","1","sp1"
"371","sp1_P6E","POST","Imagen D","Atacar","17","1 True","tap","1","sp1"
"372","sp1_P6E","POST","Imagen E","Mujer","24","1 True","tap","1","sp1"
"373","sp1_P6E","POST","Imagen E","Cara","20","1 True","tap","1","sp1"
"374","sp1_P6E","POST","Imagen F","Mujer","22","1 True","tap","1","sp1"
"375","sp1_P6E","POST","Imagen F","Guitarra","74","2","trill","2","sp1"
"376","sp1_P6E","POST","Imagen G","Dar","28","approximant","tap","a","sp1"
"377","sp1_P6E","POST","Imagen G","Rojo","95","2","trill","2","sp1"
"378","sp1_P6E","POST","Imagen G","Zorro","50","1","trill","1","sp1"
"379","sp1_P6E","POST","Imagen G","Flor","22","approximant","tap","a","sp1"
"380","sp1_P6E","POST","Imagen H","Rojo","141","3","trill","3","sp1"
"381","sp1_P6E","POST","Imagen H","Girar","24","1 True","tap","1","sp1"
"382","sp1_P6E","POST","Imagen H","Carro","89","2","trill","2","sp1"
"383","sp1_P6E","POST","Imagen H","Rápido","113","3","trill","3","sp1"
"384","sp1_P6E","PRE","Imagen A","Correr","69","2","trill","2","sp1"
"385","sp1_P6E","PRE","Imagen A","Perros","74","2","trill","2","sp1"
"386","sp1_P6E","PRE","Imagen B","Arroz","53","1","trill","1","sp1"
"387","sp1_P6E","PRE","Imagen C","Lavar","88","approximant","tap","a","sp1"
"388","sp1_P6E","PRE","Imagen C","Ropa","45","2","trill","2","sp1"
"389","sp1_P6E","PRE","Imagen D","Correr","36","0","trill","0","sp1"
"390","sp1_P6E","PRE","Imagen D","Toro","59","approximant","tap","a","sp1"
"391","sp1_P6E","PRE","Imagen D","Atacar","50","approximant","tap","a","sp1"
"392","sp1_P6E","PRE","Imagen E","Lavar","25","approximant","tap","a","sp1"
"393","sp1_P6E","PRE","Imagen E","Mujer","47","approximant","tap","a","sp1"
"394","sp1_P6E","PRE","Imagen F","Guitarra","40","1","trill","1","sp1"
"395","sp1_P6E","PRE","Imagen G","Rojo","53","1","trill","1","sp1"
"396","sp1_P6E","PRE","Imagen G","Zorro","68","2","trill","2","sp1"
"397","sp1_P6E","PRE","Imagen H","Rojo","55","0","trill","0","sp1"
"398","sp1_P6E","PRE","Imagen H","Girar","26","approximant","tap","a","sp1"
"399","sp1_P6E","PRE","Imagen H","Carro","27","1","trill","1","sp1"
"400","sp1_P6E","PRE","Imagen H","Rápido","34","1","trill","1","sp1"
"401","sp1_P7E","POST","Imagen A","Correr","64","1","trill","1","sp1"
"402","sp1_P7E","POST","Imagen A","Correr","25","approximant","tap","a","sp1"
"403","sp1_P7E","POST","Imagen A","Perros","65","1","trill","1","sp1"
"404","sp1_P7E","POST","Imagen B","Caminar","25","1 True","tap","1","sp1"
"405","sp1_P7E","POST","Imagen B","Arroz","136","0","trill","0","sp1"
"406","sp1_P7E","POST","Imagen C","Lavar","16","1 True","tap","1","sp1"
"407","sp1_P7E","POST","Imagen C","Mujer","34","approximant","tap","a","sp1"
"408","sp1_P7E","POST","Imagen C","Ropa","85","0","trill","0","sp1"
"409","sp1_P7E","POST","Imagen D","Correr","81","2","trill","2","sp1"
"410","sp1_P7E","POST","Imagen D","Correr","18","1 True","tap","1","sp1"
"411","sp1_P7E","POST","Imagen D","Toro","20","1 True","tap","1","sp1"
"412","sp1_P7E","POST","Imagen E","Lavar","34","approximant","tap","a","sp1"
"413","sp1_P7E","POST","Imagen E","Mujer","13","1 True","tap","1","sp1"
"414","sp1_P7E","POST","Imagen E","Cara","23","1 True","tap","1","sp1"
"415","sp1_P7E","POST","Imagen F","Tocar","17","1 True","tap","1","sp1"
"416","sp1_P7E","POST","Imagen F","Mujer","28","approximant","tap","a","sp1"
"417","sp1_P7E","POST","Imagen F","Guitarra","72","1","trill","1","sp1"
"418","sp1_P7E","POST","Imagen G","Rojo","126","2","trill","2","sp1"
"419","sp1_P7E","POST","Imagen G","Zorro","108","2","trill","2","sp1"
"420","sp1_P7E","POST","Imagen G","Flor","26","1 True","tap","1","sp1"
"421","sp1_P7E","POST","Imagen H","Rojo","118","2","trill","2","sp1"
"422","sp1_P7E","POST","Imagen H","Girar","27","approximant","tap","a","sp1"
"423","sp1_P7E","POST","Imagen H","Carro","92","2","trill","2","sp1"
"424","sp1_P7E","POST","Imagen H","Rápido","49","0","trill","0","sp1"
"425","sp1_P7E","PRE","Imagen A","Correr","59","0","trill","0","sp1"
"426","sp1_P7E","PRE","Imagen A","Correr","112","approximant","tap","a","sp1"
"427","sp1_P7E","PRE","Imagen A","Perros","72","0","trill","0","sp1"
"428","sp1_P7E","PRE","Imagen B","Caminar","106","approximant","tap","a","sp1"
"429","sp1_P7E","PRE","Imagen B","Arroz","98","0","trill","0","sp1"
"430","sp1_P7E","PRE","Imagen C","Caminar","108","approximant","tap","a","sp1"
"431","sp1_P7E","PRE","Imagen C","Lavar","129","approximant","tap","a","sp1"
"432","sp1_P7E","PRE","Imagen C","Mujer","87","approximant","tap","a","sp1"
"433","sp1_P7E","PRE","Imagen C","Ropa","53","0","trill","0","sp1"
"434","sp1_P7E","PRE","Imagen D","Correr","48","0","trill","0","sp1"
"435","sp1_P7E","PRE","Imagen D","Correr","108","approximant","tap","a","sp1"
"436","sp1_P7E","PRE","Imagen D","Toro","66","approximant","tap","a","sp1"
"437","sp1_P7E","PRE","Imagen D","Atacar","186","approximant","tap","a","sp1"
"438","sp1_P7E","PRE","Imagen E","Mujer","140","approximant","tap","a","sp1"
"439","sp1_P7E","PRE","Imagen E","Cara","116","approximant","tap","a","sp1"
"440","sp1_P7E","PRE","Imagen F","Mujer","82","approximant","tap","a","sp1"
"441","sp1_P7E","PRE","Imagen F","Guitarra","94","0","trill","0","sp1"
"442","sp1_P7E","PRE","Imagen G","Rojo","54","0","trill","0","sp1"
"443","sp1_P7E","PRE","Imagen G","Zorro","87","0","trill","0","sp1"
"444","sp1_P7E","PRE","Imagen G","Flor","97","approximant","tap","a","sp1"
"445","sp1_P7E","PRE","Imagen H","Rojo","40","0","trill","0","sp1"
"446","sp1_P7E","PRE","Imagen H","Girar","86","approximant","tap","a","sp1"
"447","sp1_P7E","PRE","Imagen H","Girar","81","approximant","tap","a","sp1"
"448","sp1_P7E","PRE","Imagen H","Carro","80","0","trill","0","sp1"
"449","sp1_P7E","PRE","Imagen H","Rápido","31","0","trill","0","sp1"
"450","sp1_P8E","POST","Imagen A","Correr","69","2","trill","2","sp1"
"451","sp1_P8E","POST","Imagen A","Correr","21","1 True","tap","1","sp1"
"452","sp1_P8E","POST","Imagen A","Perros","62","2","trill","2","sp1"
"453","sp1_P8E","POST","Imagen B","Caminar","18","1 True","tap","1","sp1"
"454","sp1_P8E","POST","Imagen B","Arroz","68","2","trill","2","sp1"
"455","sp1_P8E","POST","Imagen C","Lavar","27","1 True","tap","1","sp1"
"456","sp1_P8E","POST","Imagen C","Mujer","19","1 True","tap","1","sp1"
"457","sp1_P8E","POST","Imagen C","Ropa","70","2","trill","2","sp1"
"458","sp1_P8E","POST","Imagen D","Correr","98","3","trill","3","sp1"
"459","sp1_P8E","POST","Imagen D","Toro (1)","26","1 True","tap","1","sp1"
"460","sp1_P8E","POST","Imagen D","Toro (2)","20","1 True","tap","1","sp1"
"461","sp1_P8E","POST","Imagen D","Atacar","18","1 True","tap","1","sp1"
"462","sp1_P8E","POST","Imagen D","Corredor","83","2","trill","2","sp1"
"463","sp1_P8E","POST","Imagen D","Corredor","24","approximant","tap","a","sp1"
"464","sp1_P8E","POST","Imagen E","Mujer","15","1 True","tap","1","sp1"
"465","sp1_P8E","POST","Imagen E","Cara","19","1 True","tap","1","sp1"
"466","sp1_P8E","POST","Imagen F","Mujer","21","1 True","tap","1","sp1"
"467","sp1_P8E","POST","Imagen F","Guitarra","81","3","trill","3","sp1"
"468","sp1_P8E","POST","Imagen G","Rojo (1)","106","3","trill","3","sp1"
"469","sp1_P8E","POST","Imagen G","Rojo (2)","138","4","trill","4","sp1"
"470","sp1_P8E","POST","Imagen G","Zorro","86","2","trill","2","sp1"
"471","sp1_P8E","POST","Imagen G","Flor","27","1 True","tap","1","sp1"
"472","sp1_P8E","POST","Imagen H","Rojo","113","3","trill","3","sp1"
"473","sp1_P8E","POST","Imagen H","Girar","21","1 True","tap","1","sp1"
"474","sp1_P8E","POST","Imagen H","Carro","111","3","trill","3","sp1"
"475","sp1_P8E","POST","Imagen H","Rápido","88","3","trill","3","sp1"
"476","sp1_P8E","PRE","Imagen A","Correr","33","1","trill","1","sp1"
"477","sp1_P8E","PRE","Imagen A","Correr","42","approximant","tap","a","sp1"
"478","sp1_P8E","PRE","Imagen A","Perros (1)","28","1","trill","1","sp1"
"479","sp1_P8E","PRE","Imagen A","Perros (2)","36","0","trill","0","sp1"
"480","sp1_P8E","PRE","Imagen B","Arroz","32","1","trill","1","sp1"
"481","sp1_P8E","PRE","Imagen C","para","34","approximant","tap","a","sp1"
"482","sp1_P8E","PRE","Imagen C","Lavar","30","1 True","tap","1","sp1"
"483","sp1_P8E","PRE","Imagen C","Mujer","52","approximant","tap","a","sp1"
"484","sp1_P8E","PRE","Imagen C","Ropa","27","1","trill","1","sp1"
"485","sp1_P8E","PRE","Imagen D","Correr","85","2","trill","2","sp1"
"486","sp1_P8E","PRE","Imagen D","Toro (1)","34","1 True","tap","1","sp1"
"487","sp1_P8E","PRE","Imagen D","Toro (2)","35","1 True","tap","1","sp1"
"488","sp1_P8E","PRE","Imagen E","Mujer","30","1 True","tap","1","sp1"
"489","sp1_P8E","PRE","Imagen E","Cara","37","approximant","tap","a","sp1"
"490","sp1_P8E","PRE","Imagen F","Mujer","41","approximant","tap","a","sp1"
"491","sp1_P8E","PRE","Imagen F","Guitarra","76","2","trill","2","sp1"
"492","sp1_P8E","PRE","Imagen F","Mujer (2)","51","approximant","tap","a","sp1"
"493","sp1_P8E","PRE","Imagen G","Rojo","67","0","trill","0","sp1"
"494","sp1_P8E","PRE","Imagen G","Zorro","38","1","trill","1","sp1"
"495","sp1_P8E","PRE","Imagen G","Zorro (2)","41","0","trill","0","sp1"
"496","sp1_P8E","PRE","Imagen H","Rojo","47","1","trill","1","sp1"
"497","sp1_P8E","PRE","Imagen H","Girar","47","approximant","tap","a","sp1"
"498","sp1_P8E","PRE","Imagen H","Carro","57","1","trill","1","sp1"
"499","sp1_P8E","PRE","Imagen H","Rápido","58","0","trill","0","sp1"
