"","sentence","token","duration","occlusions","participant","level","time","trial","is_trill"
"1","1","NA","NA",NA,"P1E","sp1","POST",1,NA
"2","2","ahora","28","1 True","P1E","sp1","POST",2,"tap"
"3","3","ahorra","80","1 + frication (dr)","P1E","sp1","POST",3,"trill"
"4","4","(uno)","NA",NA,"P1E","sp1","POST",4,NA
"5","5","vara","14","1 True","P1E","sp1","POST",5,"tap"
"6","6","barra","85","2 + frication (dr)","P1E","sp1","POST",6,"trill"
"7","7","(pata)","NA",NA,"P1E","sp1","POST",7,NA
"8","8","coral ","63","approximant","P1E","sp1","POST",8,"tap"
"9","9","corral","54","1 + frication (dr)","P1E","sp1","POST",9,"trill"
"10","10","(duelo)","NA",NA,"P1E","sp1","POST",10,NA
"11","11","caro","17","1 True","P1E","sp1","POST",11,"tap"
"12","12","carro","74","1 + frication (dr)","P1E","sp1","POST",12,"trill"
"13","13","(cuna)","NA",NA,"P1E","sp1","POST",13,NA
"14","14","pera","28","1 True","P1E","sp1","POST",14,"tap"
"15","15","perra","78","3 + frication (dr)","P1E","sp1","POST",15,"trill"
"16","16","(huelo)","NA",NA,"P1E","sp1","POST",16,NA
"17","17","careta","29","1 True","P1E","sp1","POST",17,"tap"
"18","18","carreta","78","3 + frication (dr)","P1E","sp1","POST",18,"trill"
"19","19","(cena)","NA",NA,"P1E","sp1","POST",19,NA
"20","20","encerar","18","1 True","P1E","sp1","POST",20,"tap"
"21","20b","encerar","25","1 True","P1E","sp1","POST",21,"tap"
"22","21","encerrar","57","2 + frication (dr)","P1E","sp1","POST",22,"trill"
"23","21b","encerrar","43","1 True","P1E","sp1","POST",23,"tap"
"24","22","(pena)","NA",NA,"P1E","sp1","POST",24,NA
"25","23","perito","28","1 True","P1E","sp1","POST",25,"tap"
"26","24","perrito","49","3 + frication (dr)","P1E","sp1","POST",26,"trill"
"27","25","(invita)","NA",NA,"P1E","sp1","POST",27,NA
"28","26","pero","33","1 True","P1E","sp1","POST",28,"tap"
"29","27","perro","77","2 + frication (dr)","P1E","sp1","POST",29,"trill"
"30","28","(incita)","NA",NA,"P1E","sp1","POST",30,NA
"31","29","cero","30","1 True","P1E","sp1","POST",31,"tap"
"32","30","cerro","76","3 + frication (dr)","P1E","sp1","POST",32,"trill"
"33","31","(pato)","NA",NA,"P1E","sp1","POST",33,NA
"34","32","reto","38","1","P1E","sp1","POST",34,"trill"
"35","33","rifa","51","2","P1E","sp1","POST",35,"trill"
"36","34","(cometa)","NA",NA,"P1E","sp1","POST",36,NA
"37","35","risa","41","2","P1E","sp1","POST",37,"trill"
"38","36","rojo","33","2","P1E","sp1","POST",38,"trill"
"39","37","(gato)","NA",NA,"P1E","sp1","POST",39,NA
"40","38","ropa","41","2","P1E","sp1","POST",40,"trill"
"41","39","borracho","110","3 + frication (dr)","P1E","sp1","POST",41,"trill"
"42","40","(hilo)","NA",NA,"P1E","sp1","POST",42,NA
"43","41","carreta","64","2 + frication (dr)","P1E","sp1","POST",43,"trill"
"44","42","perrita","66","2 + frication (dr)","P1E","sp1","POST",44,"trill"
"45","43","(cono)","NA",NA,"P1E","sp1","POST",45,NA
"46","44","jarrita","67","2 + frication (dr)","P1E","sp1","POST",46,"trill"
"47","45","barrilete","69","3 + frication (dr)","P1E","sp1","POST",47,"trill"
"48","46","(camisa)","NA",NA,"P1E","sp1","POST",48,NA
"49","47","guitarra","76","2 + frication (dr)","P1E","sp1","POST",49,"trill"
"50","48","torre","63","2 + frication (dr)","P1E","sp1","POST",50,"trill"
"51","49","(clase)","NA",NA,"P1E","sp1","POST",51,NA
"52","50","burro ","69","2 + frication (dr)","P1E","sp1","POST",52,"trill"
"53","51","zorro","59","1 + frication (dr)","P1E","sp1","POST",53,"trill"
"54","52","(cómico)","NA",NA,"P1E","sp1","POST",54,NA
"55","53","tierra","78","2 + frication","P1E","sp1","POST",55,"trill"
"56","54","sonrisa","24","1","P1E","sp1","POST",56,"trill"
"57","55","(tiempo)","NA",NA,"P1E","sp1","POST",57,NA
"58","56","alrededor","92","3","P1E","sp1","POST",58,"trill"
"59","56b","alrededor","28","1 True","P1E","sp1","POST",59,"tap"
"60","57","enriquece","67","1 + /d/ sound","P1E","sp1","POST",60,"trill"
"61","58","(mango)","NA",NA,"P1E","sp1","POST",61,NA
"62","59","honrado","N/A","0","P1E","sp1","POST",62,"trill"
"63","60","israel","N/A","0","P1E","sp1","POST",63,"trill"
"64","61","(cometa)","NA",NA,"P1E","sp1","POST",64,NA
"65","62","cara","19","1 True","P1E","sp1","POST",65,"tap"
"66","63","madera","16","1 True","P1E","sp1","POST",66,"tap"
"67","64","(música)","NA",NA,"P1E","sp1","POST",67,NA
"68","65","cereza","35","1 True","P1E","sp1","POST",68,"tap"
"69","66","quiero","15","1 True","P1E","sp1","POST",69,"tap"
"70","67","(médico)","NA",NA,"P1E","sp1","POST",70,NA
"71","68","pereza","39","1 True","P1E","sp1","POST",71,"tap"
"72","69a","parar","46","1 True","P1E","sp1","POST",72,"tap"
"73","69b","parar","45","1 True","P1E","sp1","POST",73,"tap"
"74","70","(mesa)","NA",NA,"P1E","sp1","POST",74,NA
"75","71a","querer","29","1 True","P1E","sp1","POST",75,"tap"
"76","71b","querer","27","1 True","P1E","sp1","POST",76,"tap"
"77","72a","morir","27","1 True","P1E","sp1","POST",77,"tap"
"78","72b","morir","34","1 True","P1E","sp1","POST",78,"tap"
"79","73","(amigo)","NA",NA,"P1E","sp1","POST",79,NA
"80","74a","mirar","29","1 True","P1E","sp1","POST",80,"tap"
"81","74b","mirar","33","1 True","P1E","sp1","POST",81,"tap"
"82","75a","tirar","25","1 True","P1E","sp1","POST",82,"tap"
"83","75b","tirar","26","1 True","P1E","sp1","POST",83,"tap"
"84","76","(cocina)","NA",NA,"P1E","sp1","POST",84,NA
"85","77a","morder","45","approximant","P1E","sp1","POST",85,"tap"
"86","77b","morder","35","1 True","P1E","sp1","POST",86,"tap"
"87","78a","marcar","19","1 True","P1E","sp1","POST",87,"tap"
"88","78b","marcar","35","approximant","P1E","sp1","POST",88,"tap"
"89","79","(tiza)","NA",NA,"P1E","sp1","POST",89,NA
"90","80a","cortar ","15","1 True","P1E","sp1","POST",90,"tap"
"91","80b","cortar ","25","1 True","P1E","sp1","POST",91,"tap"
"92","81a","hurtar","24","approximant","P1E","sp1","POST",92,"tap"
"93","81b","hurtar","38","approximant","P1E","sp1","POST",93,"tap"
"94","82","(dieta)","NA",NA,"P1E","sp1","POST",94,NA
"95","83a","perder","37","1 True","P1E","sp1","POST",95,"tap"
"96","83b","perder","40","1 True","P1E","sp1","POST",96,"tap"
"97","84a","torero","36","1 True","P1E","sp1","POST",97,"tap"
"98","84b","torero","23","1 True","P1E","sp1","POST",98,"tap"
"99","85","(agua)","NA",NA,"P1E","sp1","POST",99,NA
"100","86a","perecer","25","1 True","P1E","sp1","POST",100,"tap"
"101","86b","perecer","22","1 True","P1E","sp1","POST",101,"tap"
"102","87a","colorear","47","1 True /d/","P1E","sp1","POST",102,"tap"
"103","87b","colorear","33","approximant","P1E","sp1","POST",103,"tap"
"104","88","(café)","NA",NA,"P1E","sp1","POST",104,NA
"105","89a","mercurio","24","1 True","P1E","sp1","POST",105,"tap"
"106","89b","mercurio","31","approximant","P1E","sp1","POST",106,"tap"
"107","90a","arteria","26","1 True","P1E","sp1","POST",107,"tap"
"108","90b","arteria","28","1 True","P1E","sp1","POST",108,"tap"
"109","91","(dibujo)","NA",NA,"P1E","sp1","POST",109,NA
"110","92a","radicar","47","1","P1E","sp1","POST",110,"trill"
"111","92b","radicar","47","approximant","P1E","sp1","POST",111,"tap"
"112","93a","rifar","48","2","P1E","sp1","POST",112,"trill"
"113","93b","rifar","29","1 True","P1E","sp1","POST",113,"tap"
"114","94","(venta)","NA",NA,"P1E","sp1","POST",114,NA
"115","95a","rodar","70","2","P1E","sp1","POST",115,"trill"
"116","95b","rodar","27","1 True","P1E","sp1","POST",116,"tap"
"117","96a","romper","90","2 + frication (dr)","P1E","sp1","POST",117,"trill"
"118","96b","romper","34","approximant","P1E","sp1","POST",118,"tap"
"119","97","(siete)","NA",NA,"P1E","sp1","POST",119,NA
"120","98a","rumor","115","2 + frication (dr)","P1E","sp1","POST",120,"trill"
"121","98b","rumor","28","1 True","P1E","sp1","POST",121,"tap"
"122","99a","raro","66","2 + frication (dr)","P1E","sp1","POST",122,"trill"
"123","99b","raro","21","1 True","P1E","sp1","POST",123,"tap"
"124","100","(ocho)","NA",NA,"P1E","sp1","POST",124,NA
"125","101a","ropero","96","2 + frication (dr)","P1E","sp1","POST",125,"trill"
"126","101b","ropero","19","1 true","P1E","sp1","POST",126,"tap"
"127","102a","ratero","69","1 /l/ ","P1E","sp1","POST",127,"trill"
"128","102b","ratero","25","1 True","P1E","sp1","POST",128,"tap"
"129","103","(mayo)","NA",NA,"P1E","sp1","POST",129,NA
"130","104a","carrera ","63","2 + frication","P1E","sp1","POST",130,"trill"
"131","104b","carrera","28","1 True","P1E","sp1","POST",131,"tap"
"132","105a","rapero","59","2 + frication","P1E","sp1","POST",132,"trill"
"133","105b","rapero","16","1 True","P1E","sp1","POST",133,"tap"
"134","106","(semana)","NA",NA,"P1E","sp1","POST",134,NA
"135","107a","barrer","55","2 + frication (dr)","P1E","sp1","POST",135,"trill"
"136","107b","barrer","23","1 True","P1E","sp1","POST",136,"tap"
"137","108a","correr","64","2 + frication (dr)","P1E","sp1","POST",137,"trill"
"138","108b","correr","39","1 True","P1E","sp1","POST",138,"tap"
"139","109","(antes)","NA",NA,"P1E","sp1","POST",139,NA
"140","110a","narrar","66","2 + frication (dr)","P1E","sp1","POST",140,"trill"
"141","110b","narrar","25","1 True","P1E","sp1","POST",141,"tap"
"142","111a","borrar","64","2 + frication (dr)","P1E","sp1","POST",142,"trill"
"143","111b","borrar","23","1 True","P1E","sp1","POST",143,"tap"
"144","112","(estoy)","NA",NA,"P1E","sp1","POST",144,NA
"145","113a","cerrar ","66","2 + frication (dr)","P1E","sp1","POST",145,"trill"
"146","113b","cerrar","33","1 True","P1E","sp1","POST",146,"tap"
"147","114a","derribar","62","2 + frication (dr)","P1E","sp1","POST",147,"trill"
"148","114b","derribar","15","1 True","P1E","sp1","POST",148,"tap"
"149","115","(común)","NA",NA,"P1E","sp1","POST",149,NA
"150","116a","corregir","62","2 + frication (dr)","P1E","sp1","POST",150,"trill"
"151","116b","corregir","32","1 True (l)","P1E","sp1","POST",151,"tap"
"152","117a","irritar","64","2 + frication (dr)","P1E","sp1","POST",152,"trill"
"153","117b","irritar","21","1 True","P1E","sp1","POST",153,"tap"
"154","118","(menos)","NA",NA,"P1E","sp1","POST",154,NA
"155","119a","interrogar","59","2 + frication (dr)","P1E","sp1","POST",155,"trill"
"156","119b","interrogar","38","1 True","P1E","sp1","POST",156,"tap"
"157","120a","corredor","77","2 + frication (dr)","P1E","sp1","POST",157,"trill"
"158","120b","corredor","26","1 True","P1E","sp1","POST",158,"tap"
"159","1","(papa)","NA",NA,"P1E","sp1","PRE",1,NA
"160","2","ahora","63","1 True","P1E","sp1","PRE",2,"tap"
"161","3","ahorra","100","2-3 + frication (dr)","P1E","sp1","PRE",3,"trill"
"162","4","(uno)","NA",NA,"P1E","sp1","PRE",4,NA
"163","5","vara","26","1 True","P1E","sp1","PRE",5,"tap"
"164","6","barra","177","1 + frication (dr)","P1E","sp1","PRE",6,"trill"
"165","7","(pata)","NA",NA,"P1E","sp1","PRE",7,NA
"166","8","coral ","170","1 + frication (dr)","P1E","sp1","PRE",8,"tap"
"167","9","corral","188","1 + frication (dr)","P1E","sp1","PRE",9,"trill"
"168","10","(duelo)","NA",NA,"P1E","sp1","PRE",10,NA
"169","11","caro","45","1 True","P1E","sp1","PRE",11,"tap"
"170","12","carro","140","1 + frication (dr)","P1E","sp1","PRE",12,"trill"
"171","13","(cuna)","NA",NA,"P1E","sp1","PRE",13,NA
"172","14","pera","43","1 True","P1E","sp1","PRE",14,"tap"
"173","15","perra","129","1 + frication (dr)","P1E","sp1","PRE",15,"trill"
"174","16","(huelo)","NA",NA,"P1E","sp1","PRE",16,NA
"175","17","careta","55","approximant","P1E","sp1","PRE",17,"tap"
"176","18","carreta","100","1 + frication (dr)","P1E","sp1","PRE",18,"trill"
"177","19","(cena)","NA",NA,"P1E","sp1","PRE",19,NA
"178","20","encerar","108","1 + frication (dr)","P1E","sp1","PRE",20,"tap"
"179","20b","encerar","25","1 True","P1E","sp1","PRE",21,"tap"
"180","21","encerrar","111","1 + frication (dr)","P1E","sp1","PRE",22,"trill"
"181","21b","encerrar","30","1 True","P1E","sp1","PRE",23,"tap"
"182","22","(pena)","NA",NA,"P1E","sp1","PRE",24,NA
"183","23","perito","38","approximant","P1E","sp1","PRE",25,"tap"
"184","24","perrito","131","1 + frication (dr)","P1E","sp1","PRE",26,"trill"
"185","25","(invitar)","NA",NA,"P1E","sp1","PRE",27,NA
"186","26","pero","34","approximant","P1E","sp1","PRE",28,"tap"
"187","27","perro","107","1 + frication (dr)","P1E","sp1","PRE",29,"trill"
"188","28","(incita)","NA",NA,"P1E","sp1","PRE",30,NA
"189","29","cero","40","1","P1E","sp1","PRE",31,"tap"
"190","30","cerro","161","1 + frication (dr)","P1E","sp1","PRE",32,"trill"
"191","31","(pato)","NA",NA,"P1E","sp1","PRE",33,NA
"192","32","reto","70","1 + frication (dr)","P1E","sp1","PRE",34,"trill"
"193","33","rifa","125","1 + frication (dr)","P1E","sp1","PRE",35,"trill"
"194","34","(cometa)","NA",NA,"P1E","sp1","PRE",36,NA
"195","35","risa","98","1 + frication (dr)","P1E","sp1","PRE",37,"trill"
"196","36","rojo","106","1 + frication (dr)","P1E","sp1","PRE",38,"trill"
"197","37","(gato)","NA",NA,"P1E","sp1","PRE",39,NA
"198","38","ropa","114","1 + frication (dr)","P1E","sp1","PRE",40,"trill"
"199","39","borracho","130","1 + frication (dr)","P1E","sp1","PRE",41,"trill"
"200","40","(hilo)","NA",NA,"P1E","sp1","PRE",42,NA
"201","41","carreta","136","1 + frication (dr)","P1E","sp1","PRE",43,"trill"
"202","42","perrita","110","1 + frication (dr)","P1E","sp1","PRE",44,"trill"
"203","43","(cono)","NA",NA,"P1E","sp1","PRE",45,NA
"204","44","jarrita","140","1 + frication (dr)","P1E","sp1","PRE",46,"trill"
"205","45","barrilete","130","1 + frication (dr)","P1E","sp1","PRE",47,"trill"
"206","46","(camisa)","NA",NA,"P1E","sp1","PRE",48,NA
"207","47","guitarra","49","1","P1E","sp1","PRE",49,"trill"
"208","48","torre","93","1 + frication (dr)","P1E","sp1","PRE",50,"trill"
"209","49","(clase)","NA",NA,"P1E","sp1","PRE",51,NA
"210","50","burro ","82","1 + frication (dr)","P1E","sp1","PRE",52,"trill"
"211","51","zorro","139","1 + frication (dr)","P1E","sp1","PRE",53,"trill"
"212","52","(cómico)","NA",NA,"P1E","sp1","PRE",54,NA
"213","53","tierra","51","1 + frication (dr)","P1E","sp1","PRE",55,"trill"
"214","54","sonrisa","136","1 + frication (dr)","P1E","sp1","PRE",56,"trill"
"215","55","(tiempo)","NA",NA,"P1E","sp1","PRE",57,NA
"216","56","alrededor","178","1 + frication (dr)","P1E","sp1","PRE",58,"trill"
"217","56b","alrededor","27","1 True","P1E","sp1","PRE",59,"tap"
"218","57","enriquece","88","1 + frication (dr)","P1E","sp1","PRE",60,"trill"
"219","58","(mango)","NA",NA,"P1E","sp1","PRE",61,NA
"220","59","honrado","N/A","0","P1E","sp1","PRE",62,"trill"
"221","60","israel","155","1 + frication (dr)","P1E","sp1","PRE",63,"trill"
"222","61","(comida)","NA",NA,"P1E","sp1","PRE",64,NA
"223","62","cara","41","approximant","P1E","sp1","PRE",65,"tap"
"224","63","madera","32","approximant","P1E","sp1","PRE",66,"tap"
"225","64","(música)","NA",NA,"P1E","sp1","PRE",67,NA
"226","65","cereza","41","1 TRUE","P1E","sp1","PRE",68,"tap"
"227","66","quiero","32","1 TRUE","P1E","sp1","PRE",69,"tap"
"228","67","(médico)","NA",NA,"P1E","sp1","PRE",70,NA
"229","68","pereza","82","1 + frication (dr)","P1E","sp1","PRE",71,"tap"
"230","69a","parar","43","approximant","P1E","sp1","PRE",72,"tap"
"231","69b","parar","27","1 TRUE","P1E","sp1","PRE",73,"tap"
"232","70","(mesa)","NA",NA,"P1E","sp1","PRE",74,NA
"233","71a","querer","42","approximant","P1E","sp1","PRE",75,"tap"
"234","71b","querer","31","1 TRUE","P1E","sp1","PRE",76,"tap"
"235","72a","morir","31","1 TRUE","P1E","sp1","PRE",77,"tap"
"236","72b","morir","26","1 TRUE","P1E","sp1","PRE",78,"tap"
"237","73","(amigo)","NA",NA,"P1E","sp1","PRE",79,NA
"238","74a","mirar","21","1 TRUE","P1E","sp1","PRE",80,"tap"
"239","74b","mirar","24","1 TRUE","P1E","sp1","PRE",81,"tap"
"240","75a","tirar","37","approximant","P1E","sp1","PRE",82,"tap"
"241","75b","tirar","20","approximant","P1E","sp1","PRE",83,"tap"
"242","76","(cocina)","NA",NA,"P1E","sp1","PRE",84,NA
"243","77a","morder","41","approximant","P1E","sp1","PRE",85,"tap"
"244","77b","morder","26","1 TRUE","P1E","sp1","PRE",86,"tap"
"245","78a","marcar","25","approximant","P1E","sp1","PRE",87,"tap"
"246","78b","marcar","40","approximant","P1E","sp1","PRE",88,"tap"
"247","79","(tiza)","NA",NA,"P1E","sp1","PRE",89,NA
"248","80a","cortar ","29","1 TRUE","P1E","sp1","PRE",90,"tap"
"249","80b","cortar ","28","1 TRUE","P1E","sp1","PRE",91,"tap"
"250","81a","hurtar","20","approximant","P1E","sp1","PRE",92,"tap"
"251","81b","hurtar","25","1 TRUE","P1E","sp1","PRE",93,"tap"
"252","82","(dieta)","NA",NA,"P1E","sp1","PRE",94,NA
"253","83a","perder","27","1 TRUE","P1E","sp1","PRE",95,"tap"
"254","83b","perder","23","approximant","P1E","sp1","PRE",96,"tap"
"255","84a","torero","29","1 TRUE","P1E","sp1","PRE",97,"tap"
"256","84b","torero","22","1 TRUE","P1E","sp1","PRE",98,"tap"
"257","85","(agua)","NA",NA,"P1E","sp1","PRE",99,NA
"258","86a","perecer","24","approximant","P1E","sp1","PRE",100,"tap"
"259","86b","perecer","24","1 TRUE","P1E","sp1","PRE",101,"tap"
"260","87a","colorear","24","1 TRUE","P1E","sp1","PRE",102,"tap"
"261","87b","colorear","25","approximant","P1E","sp1","PRE",103,"tap"
"262","88","(café)","NA",NA,"P1E","sp1","PRE",104,NA
"263","89a","mercurio","16","approximant","P1E","sp1","PRE",105,"tap"
"264","89b","mercurio","N/A","perceptual","P1E","sp1","PRE",106,"tap"
"265","90a","arteria","25","approximant","P1E","sp1","PRE",107,"tap"
"266","90b","arteria","15","approximant","P1E","sp1","PRE",108,"tap"
"267","91","(dibujo)","NA",NA,"P1E","sp1","PRE",109,NA
"268","92a","radicar","64","0 + frication (dr)","P1E","sp1","PRE",110,"trill"
"269","92b","radicar","36","1 TRUE","P1E","sp1","PRE",111,"tap"
"270","93a","rifar","87","1 + frication (dr)","P1E","sp1","PRE",112,"trill"
"271","93b","rifar","24","1 TRUE","P1E","sp1","PRE",113,"tap"
"272","94","(venta)","NA",NA,"P1E","sp1","PRE",114,NA
"273","95a","rodar","96","1 + frication (dr)","P1E","sp1","PRE",115,"trill"
"274","95b","rodar","32","1 TRUE","P1E","sp1","PRE",116,"tap"
"275","96a","romper","69","0 + frication (dr)","P1E","sp1","PRE",117,"trill"
"276","96b","romper","45","approximant","P1E","sp1","PRE",118,"tap"
"277","97","(siete)_(siete)","NA",NA,"P1E","sp1","PRE",119,NA
"278","98a","rumor","58","2 + frication (dr)","P1E","sp1","PRE",120,"trill"
"279","98b","rumor","21","1 TRUE","P1E","sp1","PRE",121,"tap"
"280","99a","raro","68","1 + frication","P1E","sp1","PRE",122,"trill"
"281","99b","raro","20","approximant (d) ","P1E","sp1","PRE",123,"tap"
"282","100","(ocho)_(ocho)","NA",NA,"P1E","sp1","PRE",124,NA
"283","101a","ropero","57","1 + frication (dr)","P1E","sp1","PRE",125,"trill"
"284","101b","ropero","18","1 TRUE","P1E","sp1","PRE",126,"tap"
"285","102a","ratero","74","2 + frication (dr)","P1E","sp1","PRE",127,"trill"
"286","102b","ratero","31","approximant","P1E","sp1","PRE",128,"tap"
"287","103","(mayo)_(mayo)","NA",NA,"P1E","sp1","PRE",129,NA
"288","104a","carrera ","61","1 + frication (dr)","P1E","sp1","PRE",130,"trill"
"289","104b","carrera","38","1 TRUE","P1E","sp1","PRE",131,"tap"
"290","105a","rapero","62","0 + frication (dr)","P1E","sp1","PRE",132,"trill"
"291","105b","rapero","31","1 TRUE","P1E","sp1","PRE",133,"tap"
"292","106","(semana)_(semana)","NA",NA,"P1E","sp1","PRE",134,NA
"293","107a","barrer","61","1 + frication (dr)","P1E","sp1","PRE",135,"trill"
"294","107b","barrer","49","1 TRUE","P1E","sp1","PRE",136,"tap"
"295","108a","correr","64","1 + frication","P1E","sp1","PRE",137,"trill"
"296","108b","correr","25","approximant ","P1E","sp1","PRE",138,"tap"
"297","109","(antes)_(antes)","NA",NA,"P1E","sp1","PRE",139,NA
"298","110a","narrar","58","1 + frication (dr)","P1E","sp1","PRE",140,"trill"
"299","110b","narrar","53","1 TRUE","P1E","sp1","PRE",141,"tap"
"300","111a","borrar","76","1 + frication (dr)","P1E","sp1","PRE",142,"trill"
"301","111b","borrar","42","approximant","P1E","sp1","PRE",143,"tap"
"302","112","(estoy)_(estoy)","NA",NA,"P1E","sp1","PRE",144,NA
"303","113a","cerrar ","65","2 + frication (dr)","P1E","sp1","PRE",145,"trill"
